Lista de Materiais - Eletrodutos;;;
Descrição do Material;Diâmetro Nominal;Comprimento (m);Referência de Fabricante
Eletroduto flexível corrugado, em PVC na cor amarelo antichamas, conforme NBR15465;Ø20;163,94 m;Tigre ou equivalente
