P avg [W];Q avg [VAr]
20175,16;11787,51
70711,92;39556,99
71021,88;41150,94
70383,23;40801,35
70727,99;40617,05
179882,3;121840,3
217683,3;152648,3
216165;151912,6
216910,4;151968,5
215777,2;150712,9
214746,9;151729,7
212729,5;155347,6
206697,3;151276,9
203748,5;150769,2
211723,1;155147,2
209807,5;155120,9
195129,8;146145,9
203484,4;146926,8
163136;122348,1
163636,3;122847,7
163208,8;122987,1
157494,6;119322
163287,3;122510
164097,5;124139,6
185246,3;135833,1
197173,5;139479,6
192531,5;137296,2
187111,6;134124,2
192254,7;136196,3
196686,3;139800
195771;139598,3
189112,4;135544,9
193927,9;137946,5
189817,2;135450,4
216544,9;162219,8
263332,8;204271,3
338191,8;258058,6
338454,6;256041,5
336677,9;257166
339757,2;259603,1
353227,5;271018
373854,6;275417,1
371576,3;274223,8
366531,9;268527,9
348252,5;259356,2
366140,6;272662,9
370884,3;269765,8
372241,9;268089,4
381085,3;274857,7
377632,5;270388,4
397705,7;278527,5
406918,4;281374,5
416377,7;282697,3
417716;284976,1
408264,7;278258,3
422074,7;282893,7
415833,4;280216,4
419987,1;282372,4
423761,2;285741,9
424613,9;287258,5
418709,1;284597,2
420836,9;287956,4
430463,9;291229
425955,3;292244,4
422118,2;290826,4
428689,8;287629,2
425511,7;282697,4
413606,8;274333,3
405850,3;273978,1
403685,7;280987,3
416965,8;290452
412528,7;288862,1
406613,6;286000,3
408938,5;281199,5
416483,3;283858,3
405620;279258,7
406742,7;281124,1
412809,5;280300,2
409965,1;273399,2
412416,5;282573,5
399619,8;281824
279554;209087
225475,9;158050,9
216324,7;152556,1
217357;154023,3
221646,6;157298,8
217268,1;155321,3
202593,2;145917,9
206705,6;148253,5
210978;150935,9
200154,8;144264,1
214720,2;151924,8
204809;147986,3
202087,3;147065,6
187614,3;138001,4
189027,3;139578,7
179945,3;133769
190218,2;139059
189118,6;139310,7
187671,8;137876
155595;117271,6
159256;119406,8
164126,3;123382,1
183104;135769,6
210004,9;151207,9
215158,9;147436,2
218158,5;144078,8
215601,6;143671
208125,8;139763,4
209227,4;140733,2
211989,4;143468,3
214633,2;146815,2
209387,5;144187,8
210544,5;149591,3
212787,6;152763,4
186855;138563,1
170145,7;129994,3
160599,5;121322,8
159459;119911,7
163755,8;122652,4
157361,9;119754,1
169765,7;122756,8
185503,9;131722,5
197305,2;139433,4
212129,2;148018,2
214438;150921,7
195001,4;140624,7
191214,1;138225,8
188406,5;136281,5
189038,7;136106
212717,5;157674,8
275269,3;210362,6
315412,6;242933,1
324051,7;245580,2
332978,3;249910,9
357886,2;261246,1
364911;266574,8
390927,8;278365,9
403909,1;283381,4
405665,3;290864,6
386910,6;280967
405798,8;291892,5
405299,1;290433
404307,5;287814,8
386463,4;277034,4
378716,1;274031,3
387665;278499,3
401525;281905,6
389629,6;278230,8
394006,3;278384,6
400183,7;279408,4
394163,4;278670,9
403880,5;280993,4
405084,8;282940,8
392265;279654,6
397193,8;283283,7
396995,7;280817,8
401153,4;282740,8
403565,3;285174,5
395215,7;279127,4
392566,5;277005,9
403053,1;277655,4
404523,3;278447
414218,8;281306,8
414771,5;284584
403201,6;277395,2
415050,9;283505,9
409607,6;281634
412581,1;284603,4
417437,3;288538,6
417418,1;287634
419463,5;286699
421763,9;288241,8
419210,3;289611,7
422083,7;291437
412247,9;286197,9
402484;282514,1
227683,9;181657,7
99510,88;107126,1
93000,07;114344,6
90779,09;115986,6
92238;117342,4
79450,3;97987,48
155508,2;128199,1
218229;156111,4
203697,1;147472,1
218207,7;156778,7
216387,3;156367,4
209644,7;154300,1
164542,2;127365,1
174042,6;132581,9
187574;140605,6
196537,5;146907,8
193058,6;144684,7
192798,8;144307
197784,1;147163,4
197215,6;146377,7
190178;141166
186448,6;138385,2
193673,6;142195,3
198212,3;145488,1
192784,2;142755,7
186953,1;137710,5
207156,3;149465
224841,5;160342,4
217061,6;157057,9
185713,2;138018,9
192499,4;143482,3
191463,7;143302,3
193574,4;145643,8
190386,1;145645,8
193729,9;144770,8
189768,8;143377
